Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;17500;Journal of Finance;journal;00221082, 15406261;22,836;Q1;370;97;227;5521;2319;220;10,87;56,92;16,96;21;24;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1946-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;24379;Journal of Financial Economics;journal;0304405X;17,669;Q1;331;111;500;6352;7626;495;12,47;57,23;17,33;14;40;Netherlands;Western Europe;Elsevier B.V.;1974-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;16161;Review of Financial Studies;journal;14657368, 08939454;16,546;Q1;250;88;408;5703;3934;407;7,09;64,81;21,89;20;31;United Kingdom;Western Europe;Oxford University Press;1996-2025;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;20206;Academy of Management Review;journal;3637425;14,402;Q1;320;51;135;5354;2515;126;10,61;104,98;27,27;0;6;United States;Northern America;Academy of Management;1978-1987, 1989-1991, 1996-2025;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting
5;19900191906;Academy of Management Annals;journal;19416520, 19416067;13,877;Q1;119;23;64;5065;1312;62;19,20;220,22;26,67;1;1;United States;Northern America;Academy of Management;2010-2025;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";Business, Management and Accounting
6;22951;Journal of Marketing;journal;15477185, 00222429;13,394;Q1;296;63;176;4655;3242;154;17,29;73,89;38,51;1;9;United States;Northern America;American Marketing Association;1969, 1971, 1973, 1977, 1979-1981, 1995-2025;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;21100863710;Annual Review of Organizational Psychology and Organizational Behavior;journal;23270608;12,191;Q1;86;21;52;2548;1645;49;33,44;121,33;41,38;0;5;United States;Northern America;Annual Reviews Inc.;2014-2025;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
8;20191;Academy of Management Journal;journal;14273;10,528;Q1;396;59;230;6497;2933;222;10,55;110,12;41,67;5;13;United States;Northern America;Academy of Management;1975-1987, 1989-2025;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";Business, Management and Accounting
9;17700155016;Handbook of Industrial Organization;book series;1573448X;10,234;Q1;13;0;17;0;67;17;0,00;0,00;0,00;0;0;Netherlands;Western Europe;Elsevier B.V.;1989, 2007, 2021;"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;22330;Organizational Research Methods;journal;15527425, 10944281;10,181;Q1;148;43;86;3654;1937;83;30,02;84,98;28,69;0;4;United States;Northern America;SAGE Publications Inc.;1998-2025;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
