Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";35,995;Q1;322;48;143;3350;2301;143;14,37;69,79;25,18;35;27;United Kingdom;Western Europe;"Oxford University Press";"1886-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";25,102;Q1;380;61;328;4606;4330;326;12,41;75,51;26,26;37;24;United States;Northern America;"American Economic Association";"1973-1975, 1978-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";22,836;Q1;370;97;227;5521;2319;220;10,87;56,92;16,96;21;24;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;19482;"Econometrica";journal;"00129682, 14680262";21,091;Q1;231;66;264;2702;2074;258;6,73;40,94;11,27;0;20;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1984, 1990-1991, 1994-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;24202;"Review of Economic Studies";journal;"00346527, 1467937X";19,166;Q1;177;87;275;5450;2261;275;8,74;62,64;20,75;62;49;United Kingdom;Western Europe;"Oxford University Press";"1933-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;24379;"Journal of Financial Economics";journal;"0304405X";17,669;Q1;331;111;500;6352;7626;495;12,47;57,23;17,33;14;40;Netherlands;Western Europe;"Elsevier B.V.";"1974-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;24404;"Journal of Political Economy";journal;"00223808, 1537534X";17,087;Q1;225;85;239;5432;1943;232;6,48;63,91;19,75;47;36;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
8;16161;"Review of Financial Studies";journal;"14657368, 08939454";16,546;Q1;250;88;408;5703;3934;407;7,09;64,81;21,89;20;31;United Kingdom;Western Europe;"Oxford University Press";"1996-2025";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";13,528;Q1;88;24;154;1475;1154;154;5,87;61,46;21,82;14;17;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
10;22951;"Journal of Marketing";journal;"15477185, 00222429";13,394;Q1;296;63;176;4655;3242;154;17,29;73,89;38,51;1;9;United States;Northern America;"American Marketing Association";"1969, 1971, 1973, 1977, 1979-1981, 1995-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
11;27165;"Journal of Economic Literature";journal;"00220515";12,749;Q1;189;16;91;2700;1213;90;11,09;168,75;11,43;9;7;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
12;28973;"Journal of Econometrics";journal;"03044076, 18726895";12,168;Q1;198;265;581;12954;5451;554;4,39;48,88;22,42;25;47;Netherlands;Western Europe;"Elsevier B.V.";"1973-2025";"Applied Mathematics (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Mathematics"
13;17700155016;"Handbook of Industrial Organization";book series;"1573448X";10,234;Q1;13;0;17;0;67;17;0,00;0,00;0,00;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1989, 2007, 2021";"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
14;20110;"NBER Macroeconomics Annual";book series;"15372642, 08893365";9,760;Q1;71;16;58;337;167;12;2,95;21,06;0,00;2;1;United States;Northern America;"University of Chicago Press";"1996-2014, 2016, 2018-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
